Umur (minggu),Perusahaan,Breeds,Konsumsi_(g/hari),Konsumsi_(g/minggu),Konsumsi/(BB^0.75)_(g/minggu),BB_(g/minggu),BB^0.75_(g/minggu),%_Ca,Konsumsi-Ca_(g/minggu),%_P-Ter.,Konsumsi_P-Tersedia_(g/minggu),%_P,Konsumsi_P_(g/minggu)
19,HG,HB,93,651,101.74,"1,676.00",261.94,2.05,2.09,0.42,0.43,0.65,0.66
20,HG,HB,99,735,114.25,"1,713.00",266.27,2.05,2.34,0.42,0.48,0.65,0.74
21,HG,HB,105,735,113.64,"1,750.00",270.57,2.05,2.33,0.42,0.48,0.65,0.74
22,HG,HB,108,756,116.60,"1,767.00",272.54,2.05,2.39,0.42,0.49,0.65,0.76
23,HG,HB,111,777,119.59,"1,782.00",274.27,2.05,2.45,0.42,0.50,0.65,0.78
24,HG,HB,112,784,120.43,"1,796.00",275.89,2.05,2.47,0.42,0.51,0.65,0.78
25,HG,HB,113,791,121.29,"1,809.00",277.38,2.05,2.49,0.42,0.51,0.65,0.79
26,HG,HB,113,791,121.09,"1,821.00",278.76,2.05,2.48,0.42,0.51,0.65,0.79
27,HG,HB,113,791,120.92,"1,831.00",279.91,2.05,2.48,0.42,0.51,0.65,0.79
28,HG,HB,113,791,120.76,"1,841.00",281.05,2.05,2.48,0.42,0.51,0.65,0.78
29,HG,HB,113,791,120.61,"1,850.00",282.08,2.05,2.47,0.42,0.51,0.65,0.78
30,HG,HB,113,791,120.48,"1,858.00",283.00,2.05,2.47,0.42,0.51,0.65,0.78
31,HG,HB,113,791,120.35,"1,866.00",283.91,2.05,2.47,0.42,0.51,0.65,0.78
32,HG,HB,113,791,120.24,"1,873.00",284.71,2.05,2.46,0.42,0.50,0.65,0.78
33,HG,HB,113,791,120.14,"1,879.00",285.39,2.05,2.46,0.42,0.50,0.65,0.78
34,HG,HB,113,791,120.05,"1,885.00",286.08,2.05,2.46,0.42,0.50,0.65,0.78
35,HG,HB,113,791,119.95,"1,891.00",286.76,2.05,2.46,0.42,0.50,0.65,0.78
8,HG,HW,44,308,62.57,587.00,119.26,1.00,0.63,0.42,0.26,0.70,0.44
9,HG,HW,47,329,64.69,669.00,131.54,0.95,0.61,0.36,0.23,0.58,0.38
10,HG,HW,50,350,66.85,751.50,143.53,0.95,0.64,0.36,0.24,0.58,0.39
11,HG,HW,53,371,69.06,833.00,155.05,0.95,0.66,0.36,0.25,0.58,0.40
12,HG,HW,56,392,71.29,914.00,166.23,0.95,0.68,0.36,0.26,0.58,0.41
13,HG,HW,59,413,73.57,993.00,176.89,0.95,0.70,0.36,0.26,0.58,0.43
14,HG,HW,62,434,75.90,"1,069.00",186.95,0.95,0.72,0.36,0.27,0.58,0.44
15,HG,HW,65,455,78.26,"1,142.50",196.51,0.95,0.74,0.36,0.28,0.58,0.45
16,HG,HW,68,476,80.68,"1,211.50",205.35,0.95,0.77,0.36,0.29,0.58,0.47
17,HG,HW,71,497,83.16,"1,276.00",213.50,2.05,1.70,0.42,0.35,0.65,0.54
18,HG,HW,76,532,88.00,"1,335.50",220.92,2.05,1.80,0.42,0.37,0.65,0.57
19,HG,HW,82,574,94.04,"1,388.00",227.40,2.05,1.93,0.42,0.39,0.65,0.61
20,HG,HW,89,665,108.06,"1,434.00",233.03,2.05,2.22,0.42,0.45,0.65,0.70
21,HG,HW,95,665,107.34,"1,473.00",237.77,2.05,2.20,0.42,0.45,0.65,0.70
22,HG,HW,100,700,112.42,"1,503.00",241.39,2.05,2.30,0.42,0.47,0.65,0.73
23,HG,HW,104,728,116.59,"1,520.00",243.43,2.05,2.39,0.42,0.49,0.65,0.76
24,HG,HW,105,735,117.41,"1,536.00",245.35,2.05,2.41,0.42,0.49,0.65,0.76
25,HG,HW,105,735,117.12,"1,551.00",247.15,2.05,2.40,0.42,0.49,0.65,0.76
26,HG,HW,106,742,117.97,"1,565.00",248.82,2.05,2.42,0.42,0.50,0.65,0.77
27,HG,HW,106,742,117.75,"1,577.00",250.25,2.05,2.41,0.42,0.49,0.65,0.77
28,HG,HW,106,742,117.52,"1,589.00",251.68,2.05,2.41,0.42,0.49,0.65,0.76
29,HG,HW,107,749,118.43,"1,600.00",252.98,2.05,2.43,0.42,0.50,0.65,0.77
30,HG,HW,107,749,118.24,"1,610.00",254.17,2.05,2.42,0.42,0.50,0.65,0.77
31,HG,HW,107,749,118.06,"1,620.00",255.35,2.05,2.42,0.42,0.50,0.65,0.77
32,HG,HW,107,749,117.90,"1,629.00",256.41,2.05,2.42,0.42,0.50,0.65,0.77
33,HG,HW,108,756,118.85,"1,637.00",257.36,2.05,2.44,0.42,0.50,0.65,0.77
34,HG,HW,108,756,118.73,"1,644.00",258.18,2.05,2.43,0.42,0.50,0.65,0.77
35,HG,HW,108,756,118.60,"1,651.00",259.01,2.05,2.43,0.42,0.50,0.65,0.77
8,HG,IB,50,350,67.98,702.50,136.45,1.00,0.68,0.42,0.29,0.70,0.48
9,HG,IB,54,378,70.94,806.00,151.27,0.95,0.67,0.36,0.26,0.58,0.41
10,HG,IB,58,406,73.94,909.00,165.55,0.95,0.70,0.36,0.27,0.58,0.43
